Date,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1/15/1986,129.18,131.65,129.01,131.54
1/16/1986,131.54,133.12,131.54,133.06
1/17/1986,133.06,133.6,132.6,132.77
1/20/1986,132.77,132.79,131.15,131.6
1/21/1986,131.6,132.01,130.6,131.09
1/22/1986,131.09,131.78,129.47,129.62
1/23/1986,129.62,129.62,128.46,129.27
1/24/1986,129.27,130.54,129.27,130.2
1/27/1986,130.21,130.99,129.79,130.79
1/28/1986,130.79,132.04,130.67,131.99
1/29/1986,131.99,134.13,131.99,133.06
1/30/1986,133.06,133.16,132.09,132.19
1/31/1986,132.19,133.22,132.03,132.93
2/3/1986,132.93,134.43,132.93,134.24
2/4/1986,134.24,135.69,134.24,134.6
2/5/1986,134.6,135.79,134.6,135.71
2/6/1986,135.71,136.94,135.57,136.64
2/7/1986,136.47,137.49,135.74,137.42
2/10/1986,137.4,138.24,137.3,138.12
2/11/1986,138.12,138.61,137.85,138.26
2/12/1986,138.26,138.76,138.04,138.66
2/13/1986,138.66,139.29,138.45,139.16
2/14/1986,139.16,140.63,139.16,140.16
2/18/1986,140.16,140.76,139.99,140.74
2/19/1986,140.74,140.92,139.59,139.64
2/20/1986,139.64,140.02,138.94,139.95
2/21/1986,139.95,141.24,139.95,141.15
2/24/1986,141.16,141.18,139.99,140.2
2/25/1986,140.2,140.2,138.87,139.4
2/26/1986,139.4,139.63,138.68,138.88
2/27/1986,138.88,140.53,138.74,140.52
2/28/1986,140.9,141.83,140.41,140.43
3/3/1986,140.43,140.66,139.6,139.74
3/4/1986,139.74,141.77,139.7,140.54
3/5/1986,140.54,140.62,139.57,140.24
3/6/1986,140.24,141.35,140.17,140.8
3/7/1986,140.8,141.16,140.24,140.71
3/10/1986,140.71,142.58,140.71,142.43
3/11/1986,142.43,145.5,142.43,145.35
3/12/1986,145.35,147.32,145.34,146.62
3/13/1986,146.62,147.05,145.88,147.01
3/14/1986,147.01,147.45,146.55,147
3/17/1986,147,147,145.57,146.37
3/18/1986,146.37,147.82,146.12,147.62
3/19/1986,147.62,148.57,147.43,147.48
3/20/1986,147.48,148.54,147.27,147.8
3/21/1986,147.8,148.79,147.56,148.01
3/24/1986,148.01,148.15,146.21,147.09
3/25/1986,147.09,147.71,146.62,147.49
3/26/1986,147.49,147.57,146.74,147.26
3/27/1986,147.25,149.05,147.16,148.38
3/31/1986,148.38,149.21,147.89,148.86
4/1/1986,148.86,149.23,148.07,148.45
4/2/1986,148.45,148.94,147.1,148.92
4/3/1986,148.92,149.93,148.55,148.71
4/4/1986,148.71,148.79,146.94,147.04
4/7/1986,147.04,147.08,144.83,146.05
4/8/1986,146.05,148.95,146.05,148.93
4/9/1986,148.93,150.03,148.54,149.05
4/10/1986,149.05,151.77,149.05,151.76
4/11/1986,151.76,153.54,151.76,152.66
4/14/1986,152.66,153.98,152.49,153.93
4/15/1986,153.93,155.02,153.43,154.92
4/16/1986,154.92,158.98,154.92,158.9
4/17/1986,158.9,159.86,158.29,159.05
4/18/1986,157.38,159.15,157.35,157.66
4/21/1986,157.66,158.63,157.24,158.52
4/22/1986,157.35,159.47,157.35,157.86
4/23/1986,156.65,158.21,156.63,157.46
4/24/1986,157.46,160.16,157.46,159.85
4/25/1986,159.85,160.62,159.6,160.46
4/28/1986,160.46,160.95,159.14,159.9
4/29/1986,159.9,160.3,157.7,158.25
4/30/1986,158.25,158.4,154.79,154.91
5/1/1986,154.91,154.94,153.73,154.21
5/2/1986,154.21,155.59,154.21,155.01
5/5/1986,155.01,157.41,155.01,157.14
5/6/1986,157.14,158.09,156.85,157.12
5/7/1986,157.12,157.12,155.31,156.26
5/8/1986,156.26,157.53,156.18,157.16
5/9/1986,157.16,157.91,156.38,157.91
5/12/1986,157.91,158.26,157.36,157.75
5/13/1986,157.75,157.92,156.4,157.05
5/14/1986,157.05,157.82,156.54,157.01
5/15/1986,157.01,157.12,155.4,155.76
5/16/1986,155.76,155.86,154.39,154.99
5/19/1986,154.99,155.6,154.88,155.31
5/20/1986,155.31,157.05,155,157.01
5/21/1986,157.01,158.38,156.93,157.44
5/22/1986,157.44,159.68,157.26,159.63
5/23/1986,159.63,160.39,159.41,160.16
5/27/1986,160.16,161.21,159.94,161.18
5/28/1986,161.18,162.03,160.65,161.3
5/29/1986,161.3,161.82,160.29,161.62
5/30/1986,161.62,163.62,161.51,163.16
6/2/1986,163.16,163.98,162,162.03
6/3/1986,162.03,162.23,161.37,162.11
6/4/1986,162.11,163.09,161.4,161.82
6/5/1986,161.82,162.81,161.76,162.36
6/6/1986,162.36,162.9,161.88,161.88
6/9/1986,161.88,161.98,158.21,158.61
6/10/1986,158.6,158.7,157.18,158.1
6/11/1986,158.1,160.08,158.1,160.04
6/12/1986,160.04,161.04,159.95,160.37
6/13/1986,160.37,162.53,160.33,162.35
6/16/1986,162.35,162.93,160.62,160.8
6/17/1986,160.8,161.21,158.43,158.57
6/18/1986,158.57,158.66,156.87,158.48
6/19/1986,158.48,160.14,158.29,159.28
6/20/1986,159.28,159.71,158.29,159.59
6/23/1986,159.59,160.58,159.35,159.55
6/24/1986,159.55,161.1,159.43,160.8
6/25/1986,160.8,162.52,160.8,162
6/26/1986,162,162.26,161.38,161.72
